fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;name
10.2;0.42;0.57;3.4;0.07;4.0;10.0;0.9971;3.04;0.63;9.6;5;r0056
7.5;0.63;0.12;5.1;0.111;50.0;110.0;0.9983;3.26;0.77;9.4;5;r0057
7.8;0.59;0.18;2.3;0.076;17.0;54.0;0.9975;3.43;0.59;10.0;5;r0058
7.3;0.39;0.31;2.4;0.07400000000000001;9.0;46.0;0.9962;3.41;0.54;9.4;6;r0059
8.8;0.4;0.4;2.2;0.079;19.0;52.0;0.998;3.44;0.64;9.2;5;r0060
7.7;0.69;0.49;1.8;0.115;20.0;112.0;0.9968;3.21;0.71;9.3;5;r0061
7.5;0.52;0.16;1.9;0.085;12.0;35.0;0.9968;3.38;0.62;9.5;7;r0062
7.0;0.735;0.05;2.0;0.081;13.0;54.0;0.9966;3.39;0.57;9.8;5;r0063
7.2;0.725;0.05;4.65;0.086;4.0;11.0;0.9962;3.41;0.39;10.9;5;r0064
7.2;0.725;0.05;4.65;0.086;4.0;11.0;0.9962;3.41;0.39;10.9;5;r0065
7.5;0.52;0.11;1.5;0.079;11.0;39.0;0.9968;3.42;0.58;9.6;5;r0066
6.6;0.705;0.07;1.6;0.076;6.0;15.0;0.9962;3.44;0.58;10.7;5;r0067
9.3;0.32;0.57;2.0;0.07400000000000001;27.0;65.0;0.9969;3.28;0.79;10.7;5;r0068
8.0;0.705;0.05;1.9;0.07400000000000001;8.0;19.0;0.9962;3.34;0.95;10.5;6;r0069
7.7;0.63;0.08;1.9;0.076;15.0;27.0;0.9967;3.32;0.54;9.5;6;r0070
7.7;0.67;0.23;2.1;0.08800000000000001;17.0;96.0;0.9962;3.32;0.48;9.5;5;r0071
7.7;0.69;0.22;1.9;0.084;18.0;94.0;0.9961;3.31;0.48;9.5;5;r0072
8.3;0.675;0.26;2.1;0.084;11.0;43.0;0.9976;3.31;0.53;9.2;4;r0073
9.7;0.32;0.54;2.5;0.094;28.0;83.0;0.9984;3.28;0.82;9.6;5;r0074
8.8;0.41;0.64;2.2;0.093;9.0;42.0;0.9986;3.54;0.66;10.5;5;r0075
8.8;0.41;0.64;2.2;0.093;9.0;42.0;0.9986;3.54;0.66;10.5;5;r0076
6.8;0.785;0.0;2.4;0.104;14.0;30.0;0.9966;3.52;0.55;10.7;6;r0077
6.7;0.75;0.12;2.0;0.086;12.0;80.0;0.9958;3.38;0.52;10.1;5;r0078
8.3;0.625;0.2;1.5;0.08;27.0;119.0;0.9972;3.16;1.12;9.1;4;r0079
6.2;0.45;0.2;1.6;0.069;3.0;15.0;0.9958;3.41;0.56;9.2;5;r0080
7.8;0.43;0.7;1.9;0.464;22.0;67.0;0.9974;3.13;1.28;9.4;5;r0081
7.4;0.5;0.47;2.0;0.086;21.0;73.0;0.997;3.36;0.57;9.1;5;r0082
7.3;0.67;0.26;1.8;0.401;16.0;51.0;0.9969;3.16;1.14;9.4;5;r0083
6.3;0.3;0.48;1.8;0.069;18.0;61.0;0.9959;3.44;0.78;10.3;6;r0084
6.9;0.55;0.15;2.2;0.076;19.0;40.0;0.9961;3.41;0.59;10.1;5;r0085
8.6;0.49;0.28;1.9;0.11;20.0;136.0;0.9972;2.93;1.95;9.9;6;r0086
7.7;0.49;0.26;1.9;0.062;9.0;31.0;0.9966;3.39;0.64;9.6;5;r0087
9.3;0.39;0.44;2.1;0.107;34.0;125.0;0.9978;3.14;1.22;9.5;5;r0088
7.0;0.62;0.08;1.8;0.076;8.0;24.0;0.9978;3.48;0.53;9.0;5;r0089
7.9;0.52;0.26;1.9;0.079;42.0;140.0;0.9964;3.23;0.54;9.5;5;r0090
8.6;0.49;0.28;1.9;0.11;20.0;136.0;0.9972;2.93;1.95;9.9;6;r0091
8.6;0.49;0.29;2.0;0.11;19.0;133.0;0.9972;2.93;1.98;9.8;5;r0092
7.7;0.49;0.26;1.9;0.062;9.0;31.0;0.9966;3.39;0.64;9.6;5;r0093
5.0;1.02;0.04;1.4;0.045;41.0;85.0;0.9938;3.75;0.48;10.5;4;r0094
4.7;0.6;0.17;2.3;0.058;17.0;106.0;0.9932;3.85;0.6;12.9;6;r0095
6.8;0.775;0.0;3.0;0.102;8.0;23.0;0.9965;3.45;0.56;10.7;5;r0096
7.0;0.5;0.25;2.0;0.07;3.0;22.0;0.9963;3.25;0.63;9.2;5;r0097
7.6;0.9;0.06;2.5;0.079;5.0;10.0;0.9967;3.39;0.56;9.8;5;r0098
8.1;0.545;0.18;1.9;0.08;13.0;35.0;0.9972;3.3;0.59;9.0;6;r0099
8.3;0.61;0.3;2.1;0.084;11.0;50.0;0.9972;3.4;0.61;10.2;6;r0100
7.8;0.5;0.3;1.9;0.075;8.0;22.0;0.9959;3.31;0.56;10.4;6;r0101
8.1;0.545;0.18;1.9;0.08;13.0;35.0;0.9972;3.3;0.59;9.0;6;r0102
8.1;0.575;0.22;2.1;0.077;12.0;65.0;0.9967;3.29;0.51;9.2;5;r0103
7.2;0.49;0.24;2.2;0.07;5.0;36.0;0.996;3.33;0.48;9.4;5;r0104
8.1;0.575;0.22;2.1;0.077;12.0;65.0;0.9967;3.29;0.51;9.2;5;r0105
7.8;0.41;0.68;1.7;0.467;18.0;69.0;0.9973;3.08;1.31;9.3;5;r0106
6.2;0.63;0.31;1.7;0.08800000000000001;15.0;64.0;0.9969;3.46;0.79;9.3;5;r0107
8.0;0.33;0.53;2.5;0.091;18.0;80.0;0.9976;3.37;0.8;9.6;6;r0108
8.1;0.785;0.52;2.0;0.122;37.0;153.0;0.9969;3.21;0.69;9.3;5;r0109
7.8;0.56;0.19;1.8;0.104;12.0;47.0;0.9964;3.19;0.93;9.5;5;r0110
8.4;0.62;0.09;2.2;0.084;11.0;108.0;0.9964;3.15;0.66;9.8;5;r0111
8.4;0.6;0.1;2.2;0.085;14.0;111.0;0.9964;3.15;0.66;9.8;5;r0112
10.1;0.31;0.44;2.3;0.08;22.0;46.0;0.9988;3.32;0.67;9.7;6;r0113
7.8;0.56;0.19;1.8;0.104;12.0;47.0;0.9964;3.19;0.93;9.5;5;r0114
9.4;0.4;0.31;2.2;0.09;13.0;62.0;0.9966;3.07;0.63;10.5;6;r0115
8.3;0.54;0.28;1.9;0.077;11.0;40.0;0.9978;3.39;0.61;10.0;6;r0116
7.8;0.56;0.12;2.0;0.08199999999999999;7.0;28.0;0.997;3.37;0.5;9.4;6;r0117
8.8;0.55;0.04;2.2;0.119;14.0;56.0;0.9962;3.21;0.6;10.9;6;r0118
7.0;0.69;0.08;1.8;0.097;22.0;89.0;0.9959;3.34;0.54;9.2;6;r0119
7.3;1.07;0.09;1.7;0.17800000000000002;10.0;89.0;0.9962;3.3;0.57;9.0;5;r0120
8.8;0.55;0.04;2.2;0.119;14.0;56.0;0.9962;3.21;0.6;10.9;6;r0121
7.3;0.695;0.0;2.5;0.075;3.0;13.0;0.998;3.49;0.52;9.2;5;r0122
8.0;0.71;0.0;2.6;0.08;11.0;34.0;0.9976;3.44;0.53;9.5;5;r0123
7.8;0.5;0.17;1.6;0.08199999999999999;21.0;102.0;0.996;3.39;0.48;9.5;5;r0124
9.0;0.62;0.04;1.9;0.146;27.0;90.0;0.9984;3.16;0.7;9.4;5;r0125
8.2;1.33;0.0;1.7;0.081;3.0;12.0;0.9964;3.53;0.49;10.9;5;r0126
8.1;1.33;0.0;1.8;0.08199999999999999;3.0;12.0;0.9964;3.54;0.48;10.9;5;r0127
8.0;0.59;0.16;1.8;0.065;3.0;16.0;0.9962;3.42;0.92;10.5;7;r0128
6.1;0.38;0.15;1.8;0.07200000000000001;6.0;19.0;0.9955;3.42;0.57;9.4;5;r0129
8.0;0.745;0.56;2.0;0.118;30.0;134.0;0.9968;3.24;0.66;9.4;5;r0130
5.6;0.5;0.09;2.3;0.049;17.0;99.0;0.9937;3.63;0.63;13.0;5;r0131
5.6;0.5;0.09;2.3;0.049;17.0;99.0;0.9937;3.63;0.63;13.0;5;r0132
6.6;0.5;0.01;1.5;0.06;17.0;26.0;0.9952;3.4;0.58;9.8;6;r0133
7.9;1.04;0.05;2.2;0.084;13.0;29.0;0.9959;3.22;0.55;9.9;6;r0134
8.4;0.745;0.11;1.9;0.09;16.0;63.0;0.9965;3.19;0.82;9.6;5;r0135
8.3;0.715;0.15;1.8;0.08900000000000001;10.0;52.0;0.9968;3.23;0.77;9.5;5;r0136
7.2;0.415;0.36;2.0;0.081;13.0;45.0;0.9972;3.48;0.64;9.2;5;r0137
7.8;0.56;0.19;2.1;0.081;15.0;105.0;0.9962;3.33;0.54;9.5;5;r0138
7.8;0.56;0.19;2.0;0.081;17.0;108.0;0.9962;3.32;0.54;9.5;5;r0139
8.4;0.745;0.11;1.9;0.09;16.0;63.0;0.9965;3.19;0.82;9.6;5;r0140
8.3;0.715;0.15;1.8;0.08900000000000001;10.0;52.0;0.9968;3.23;0.77;9.5;5;r0141
5.2;0.34;0.0;1.8;0.05;27.0;63.0;0.9916;3.68;0.79;14.0;6;r0142
6.3;0.39;0.08;1.7;0.066;3.0;20.0;0.9954;3.34;0.58;9.4;5;r0143
5.2;0.34;0.0;1.8;0.05;27.0;63.0;0.9916;3.68;0.79;14.0;6;r0144
8.1;0.67;0.55;1.8;0.117;32.0;141.0;0.9968;3.17;0.62;9.4;5;r0145
5.8;0.68;0.02;1.8;0.087;21.0;94.0;0.9944;3.54;0.52;10.0;5;r0146
7.6;0.49;0.26;1.6;0.236;10.0;88.0;0.9968;3.11;0.8;9.3;5;r0147
6.9;0.49;0.1;2.3;0.07400000000000001;12.0;30.0;0.9959;3.42;0.58;10.2;6;r0148
8.2;0.4;0.44;2.8;0.08900000000000001;11.0;43.0;0.9975;3.53;0.61;10.5;6;r0149
7.3;0.33;0.47;2.1;0.077;5.0;11.0;0.9958;3.33;0.53;10.3;6;r0150
9.2;0.52;1.0;3.4;0.61;32.0;69.0;0.9996;2.74;2.0;9.4;4;r0151
7.5;0.6;0.03;1.8;0.095;25.0;99.0;0.995;3.35;0.54;10.1;5;r0152
7.5;0.6;0.03;1.8;0.095;25.0;99.0;0.995;3.35;0.54;10.1;5;r0153
7.1;0.43;0.42;5.5;0.07;29.0;129.0;0.9973;3.42;0.72;10.5;5;r0154
7.1;0.43;0.42;5.5;0.071;28.0;128.0;0.9973;3.42;0.71;10.5;5;r0155
7.1;0.43;0.42;5.5;0.07;29.0;129.0;0.9973;3.42;0.72;10.5;5;r0156
7.1;0.43;0.42;5.5;0.071;28.0;128.0;0.9973;3.42;0.71;10.5;5;r0157
7.1;0.68;0.0;2.2;0.073;12.0;22.0;0.9969;3.48;0.5;9.3;5;r0158
6.8;0.6;0.18;1.9;0.079;18.0;86.0;0.9968;3.59;0.57;9.3;6;r0159
7.6;0.95;0.03;2.0;0.09;7.0;20.0;0.9959;3.2;0.56;9.6;5;r0160
7.6;0.68;0.02;1.3;0.07200000000000001;9.0;20.0;0.9965;3.17;1.08;9.2;4;r0161
7.8;0.53;0.04;1.7;0.076;17.0;31.0;0.9964;3.33;0.56;10.0;6;r0162
7.4;0.6;0.26;7.3;0.07;36.0;121.0;0.9982;3.37;0.49;9.4;5;r0163
7.3;0.59;0.26;7.2;0.07;35.0;121.0;0.9981;3.37;0.49;9.4;5;r0164
7.8;0.63;0.48;1.7;0.1;14.0;96.0;0.9961;3.19;0.62;9.5;5;r0165
6.8;0.64;0.1;2.1;0.085;18.0;101.0;0.9956;3.34;0.52;10.2;5;r0166
7.3;0.55;0.03;1.6;0.07200000000000001;17.0;42.0;0.9956;3.37;0.48;9.0;4;r0167
6.8;0.63;0.07;2.1;0.08900000000000001;11.0;44.0;0.9953;3.47;0.55;10.4;6;r0168
7.5;0.705;0.24;1.8;0.36;15.0;63.0;0.9964;3.0;1.59;9.5;5;r0169
7.9;0.885;0.03;1.8;0.058;4.0;8.0;0.9972;3.36;0.33;9.1;4;r0170
8.0;0.42;0.17;2.0;0.073;6.0;18.0;0.9972;3.29;0.61;9.2;6;r0171
8.0;0.42;0.17;2.0;0.073;6.0;18.0;0.9972;3.29;0.61;9.2;6;r0172
7.4;0.62;0.05;1.9;0.068;24.0;42.0;0.9961;3.42;0.57;11.5;6;r0173
7.3;0.38;0.21;2.0;0.08;7.0;35.0;0.9961;3.33;0.47;9.5;5;r0174
6.9;0.5;0.04;1.5;0.085;19.0;49.0;0.9958;3.35;0.78;9.5;5;r0175
7.3;0.38;0.21;2.0;0.08;7.0;35.0;0.9961;3.33;0.47;9.5;5;r0176
7.5;0.52;0.42;2.3;0.087;8.0;38.0;0.9972;3.58;0.61;10.5;6;r0177
7.0;0.805;0.0;2.5;0.068;7.0;20.0;0.9969;3.48;0.56;9.6;5;r0178
8.8;0.61;0.14;2.4;0.067;10.0;42.0;0.9969;3.19;0.59;9.5;5;r0179
8.8;0.61;0.14;2.4;0.067;10.0;42.0;0.9969;3.19;0.59;9.5;5;r0180
8.9;0.61;0.49;2.0;0.27;23.0;110.0;0.9972;3.12;1.02;9.3;5;r0181
7.2;0.73;0.02;2.5;0.076;16.0;42.0;0.9972;3.44;0.52;9.3;5;r0182
6.8;0.61;0.2;1.8;0.077;11.0;65.0;0.9971;3.54;0.58;9.3;5;r0183
6.7;0.62;0.21;1.9;0.079;8.0;62.0;0.997;3.52;0.58;9.3;6;r0184
8.9;0.31;0.57;2.0;0.111;26.0;85.0;0.9971;3.26;0.53;9.7;5;r0185
7.4;0.39;0.48;2.0;0.08199999999999999;14.0;67.0;0.9972;3.34;0.55;9.2;5;r0186
7.7;0.705;0.1;2.6;0.084;9.0;26.0;0.9976;3.39;0.49;9.7;5;r0187
7.9;0.5;0.33;2.0;0.084;15.0;143.0;0.9968;3.2;0.55;9.5;5;r0188
7.9;0.49;0.32;1.9;0.08199999999999999;17.0;144.0;0.9968;3.2;0.55;9.5;5;r0189
8.2;0.5;0.35;2.9;0.077;21.0;127.0;0.9976;3.23;0.62;9.4;5;r0190
6.4;0.37;0.25;1.9;0.07400000000000001;21.0;49.0;0.9974;3.57;0.62;9.8;6;r0191
6.8;0.63;0.12;3.8;0.099;16.0;126.0;0.9969;3.28;0.61;9.5;5;r0192
7.6;0.55;0.21;2.2;0.071;7.0;28.0;0.9964;3.28;0.55;9.7;5;r0193
7.6;0.55;0.21;2.2;0.071;7.0;28.0;0.9964;3.28;0.55;9.7;5;r0194
7.8;0.59;0.33;2.0;0.07400000000000001;24.0;120.0;0.9968;3.25;0.54;9.4;5;r0195
7.3;0.58;0.3;2.4;0.07400000000000001;15.0;55.0;0.9968;3.46;0.59;10.2;5;r0196
11.5;0.3;0.6;2.0;0.067;12.0;27.0;0.9981;3.11;0.97;10.1;6;r0197
5.4;0.835;0.08;1.2;0.046;13.0;93.0;0.9924;3.57;0.85;13.0;7;r0198
6.9;1.09;0.06;2.1;0.061;12.0;31.0;0.9948;3.51;0.43;11.4;4;r0199
9.6;0.32;0.47;1.4;0.056;9.0;24.0;0.99695;3.22;0.82;10.3;7;r0200
8.8;0.37;0.48;2.1;0.097;39.0;145.0;0.9975;3.04;1.03;9.3;5;r0201
6.8;0.5;0.11;1.5;0.075;16.0;49.0;0.99545;3.36;0.79;9.5;5;r0202
7.0;0.42;0.35;1.6;0.08800000000000001;16.0;39.0;0.9961;3.34;0.55;9.2;5;r0203
7.0;0.43;0.36;1.6;0.08900000000000001;14.0;37.0;0.99615;3.34;0.56;9.2;6;r0204
12.8;0.3;0.74;2.6;0.095;9.0;28.0;0.9994;3.2;0.77;10.8;7;r0205
12.8;0.3;0.74;2.6;0.095;9.0;28.0;0.9994;3.2;0.77;10.8;7;r0206
7.8;0.57;0.31;1.8;0.069;26.0;120.0;0.99625;3.29;0.53;9.3;5;r0207
7.8;0.44;0.28;2.7;0.1;18.0;95.0;0.9966;3.22;0.67;9.4;5;r0208
11.0;0.3;0.58;2.1;0.054000000000000006;7.0;19.0;0.998;3.31;0.88;10.5;7;r0209
9.7;0.53;0.6;2.0;0.039;5.0;19.0;0.99585;3.3;0.86;12.4;6;r0210
8.0;0.725;0.24;2.8;0.083;10.0;62.0;0.99685;3.35;0.56;10.0;6;r0211
11.6;0.44;0.64;2.1;0.059;5.0;15.0;0.998;3.21;0.67;10.2;6;r0212
8.2;0.57;0.26;2.2;0.06;28.0;65.0;0.9959;3.3;0.43;10.1;5;r0213
7.8;0.735;0.08;2.4;0.092;10.0;41.0;0.9974;3.24;0.71;9.8;6;r0214
7.0;0.49;0.49;5.6;0.06;26.0;121.0;0.9974;3.34;0.76;10.5;5;r0215
8.7;0.625;0.16;2.0;0.101;13.0;49.0;0.9962;3.14;0.57;11.0;5;r0216
8.1;0.725;0.22;2.2;0.07200000000000001;11.0;41.0;0.9967;3.36;0.55;9.1;5;r0217
7.5;0.49;0.19;1.9;0.076;10.0;44.0;0.9957;3.39;0.54;9.7;5;r0218
7.8;0.53;0.33;2.4;0.08;24.0;144.0;0.99655;3.3;0.6;9.5;5;r0219
7.8;0.34;0.37;2.0;0.08199999999999999;24.0;58.0;0.9964;3.34;0.59;9.4;6;r0220
7.4;0.53;0.26;2.0;0.101;16.0;72.0;0.9957;3.15;0.57;9.4;5;r0221
6.8;0.61;0.04;1.5;0.057;5.0;10.0;0.99525;3.42;0.6;9.5;5;r0222
8.6;0.645;0.25;2.0;0.083;8.0;28.0;0.99815;3.28;0.6;10.0;6;r0223
8.4;0.635;0.36;2.0;0.08900000000000001;15.0;55.0;0.99745;3.31;0.57;10.4;4;r0224
7.7;0.43;0.25;2.6;0.073;29.0;63.0;0.99615;3.37;0.58;10.5;6;r0225
8.9;0.59;0.5;2.0;0.337;27.0;81.0;0.9964;3.04;1.61;9.5;6;r0226
9.0;0.82;0.14;2.6;0.08900000000000001;9.0;23.0;0.9984;3.39;0.63;9.8;5;r0227
7.7;0.43;0.25;2.6;0.073;29.0;63.0;0.99615;3.37;0.58;10.5;6;r0228
6.9;0.52;0.25;2.6;0.081;10.0;37.0;0.99685;3.46;0.5;11.0;5;r0229
5.2;0.48;0.04;1.6;0.054000000000000006;19.0;106.0;0.9927;3.54;0.62;12.2;7;r0230
8.0;0.38;0.06;1.8;0.078;12.0;49.0;0.99625;3.37;0.52;9.9;6;r0231
8.5;0.37;0.2;2.8;0.09;18.0;58.0;0.998;3.34;0.7;9.6;6;r0232
6.9;0.52;0.25;2.6;0.081;10.0;37.0;0.99685;3.46;0.5;11.0;5;r0233
8.2;1.0;0.09;2.3;0.065;7.0;37.0;0.99685;3.32;0.55;9.0;6;r0234
7.2;0.63;0.0;1.9;0.097;14.0;38.0;0.99675;3.37;0.58;9.0;6;r0235
7.2;0.63;0.0;1.9;0.097;14.0;38.0;0.99675;3.37;0.58;9.0;6;r0236
7.2;0.645;0.0;1.9;0.097;15.0;39.0;0.99675;3.37;0.58;9.2;6;r0237
7.2;0.63;0.0;1.9;0.097;14.0;38.0;0.99675;3.37;0.58;9.0;6;r0238
8.2;1.0;0.09;2.3;0.065;7.0;37.0;0.99685;3.32;0.55;9.0;6;r0239
8.9;0.635;0.37;1.7;0.263;5.0;62.0;0.9971;3.0;1.09;9.3;5;r0240
12.0;0.38;0.56;2.1;0.093;6.0;24.0;0.99925;3.14;0.71;10.9;6;r0241
7.7;0.58;0.1;1.8;0.102;28.0;109.0;0.99565;3.08;0.49;9.8;6;r0242
15.0;0.21;0.44;2.2;0.075;10.0;24.0;1.00005;3.07;0.84;9.2;7;r0243
15.0;0.21;0.44;2.2;0.075;10.0;24.0;1.00005;3.07;0.84;9.2;7;r0244
7.3;0.66;0.0;2.0;0.084;6.0;23.0;0.9983;3.61;0.96;9.9;6;r0245
7.1;0.68;0.07;1.9;0.075;16.0;51.0;0.99685;3.38;0.52;9.5;5;r0246
8.2;0.6;0.17;2.3;0.07200000000000001;11.0;73.0;0.9963;3.2;0.45;9.3;5;r0247
7.7;0.53;0.06;1.7;0.07400000000000001;9.0;39.0;0.99615;3.35;0.48;9.8;6;r0248
7.3;0.66;0.0;2.0;0.084;6.0;23.0;0.9983;3.61;0.96;9.9;6;r0249
10.8;0.32;0.44;1.6;0.063;16.0;37.0;0.9985;3.22;0.78;10.0;6;r0250
7.1;0.6;0.0;1.8;0.07400000000000001;16.0;34.0;0.9972;3.47;0.7;9.9;6;r0251
11.1;0.35;0.48;3.1;0.09;5.0;21.0;0.9986;3.17;0.53;10.5;5;r0252
7.7;0.775;0.42;1.9;0.092;8.0;86.0;0.9959;3.23;0.59;9.5;5;r0253
7.1;0.6;0.0;1.8;0.07400000000000001;16.0;34.0;0.9972;3.47;0.7;9.9;6;r0254
8.0;0.57;0.23;3.2;0.073;17.0;119.0;0.99675;3.26;0.57;9.3;5;r0255
9.4;0.34;0.37;2.2;0.075;5.0;13.0;0.998;3.22;0.62;9.2;5;r0256
6.6;0.695;0.0;2.1;0.075;12.0;56.0;0.9968;3.49;0.67;9.2;5;r0257
7.7;0.41;0.76;1.8;0.611;8.0;45.0;0.9968;3.06;1.26;9.4;5;r0258
10.0;0.31;0.47;2.6;0.085;14.0;33.0;0.99965;3.36;0.8;10.5;7;r0259
7.9;0.33;0.23;1.7;0.077;18.0;45.0;0.99625;3.29;0.65;9.3;5;r0260
7.0;0.975;0.04;2.0;0.087;12.0;67.0;0.99565;3.35;0.6;9.4;4;r0261
8.0;0.52;0.03;1.7;0.07;10.0;35.0;0.99575;3.34;0.57;10.0;5;r0262
7.9;0.37;0.23;1.8;0.077;23.0;49.0;0.9963;3.28;0.67;9.3;5;r0263
12.5;0.56;0.49;2.4;0.064;5.0;27.0;0.9999;3.08;0.87;10.9;5;r0264
11.8;0.26;0.52;1.8;0.071;6.0;10.0;0.9968;3.2;0.72;10.2;7;r0265
8.1;0.87;0.0;3.3;0.096;26.0;61.0;1.00025;3.6;0.72;9.8;4;r0266
